name,base,seq,system,sub,rateType,image,flags,heldOrDup,file
Egg of Life,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\EGG OF LIFE - Sacred Geometry .afdesign
Flower of Life,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\FLOWER OF LIFE - Sacred Geometry .afdesign
Fruit of Life,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\FRUIT OF LIFE - Sacred Geometry .afdesign
Germ of Life,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\GERM OF LIFE - Sacred Geometry.afdesign
Grid of Life,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\GRID OF LIFE  - Sacred Geometry.afdesign
Merkaba,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\MERKABA  - Sacred Geometry .afdesign
Metatron’s Cube,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\METATRON’S CUBE - Sacred Geometry .afdesign
Seed of Life,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\SEED OF LIFE  - Sacred Geometry.afdesign
Star of David,,,Sulis,Sacred Geometry,Sulis Rates,,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\STAR OF DAVID - Sacred Geometry .afdesign
The Golden Spiral & Fibonnaci Sequence,44,0 1 1 2 3 5 8 13 21 34,Combe,Sacred Geometry,Base 44 Rate (Combe),embedded-preview,multi-rate(2),,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\THE GOLDEN SPIRAL & FIBONNACI SEQUENCE - Sacred Geometry .afdesign
Torus,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\TORUS - Sacred Geometry .afdesign
Tree of Life,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\TREE OF LIFE - Sacred Geometry .afdesign
Unamed,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\unamed - Sacred Geometry .afdesign
Xx,,,Sulis,Sacred Geometry,Sulis Rates,,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\Unamed Flower - Sacred Geometry .afdesign
Vector Equilibrium,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\VECTOR EQUILIBRIUM - Sacred Geometry .afdesign
Vesica Piscis,44,,Combe,Sacred Geometry,Base 44 Rate (Combe),,symbol-card,symbol-card,Affinity\Ancient Sacred Symbol - Sacred Geometry Cards\VESICA PISCIS  - Sacred Geometry .afdesign